aback	AH B AE K
decisively	D IH S AY S IH V L IY
deck	D EH K
decked	D EH K T
decking	D EH K IH NG
decks	D EH K S
declaim	D IH K L EY M
declaimed	D IH K L EY M D
declaratory	D IH K L EH R AH T AO R IY
declare	D IH K L EH R
declared	D IH K L EH R D
declares	D IH K L EH R Z
declaring	D IH K L EH R IH NG
declassified	D IH K L AE S AH F AY D
declassify	D IH K L AE S AH F AY
decline	D IH K L AY N
declined	D IH K L AY N D
declines	D IH K L AY N Z
declining	D IH K L AY N IH NG
decode	D IH K OW D
decoded	D IH K OW D AH D
decodes	D IH K OW D Z
decoding	D IH K OW D IH NG
decommission	D IY K AH M IH SH AH N
decommissioned	D IY K AH M IH SH AH N D
decommissioning	D IY K AH M IH SH AH N IH NG
decompose	D IY K AH M P OW Z
decomposed	D IY K AH M P OW Z D
decomposes	D IY K AH M P OW Z IH Z
decomposing	D IY K AH M P OW Z IH NG
deconstruct	D IY K AH N S T R AH K T
decontaminate	D IY K AH N T AE M AH N EY T
decontaminated	D IY K AH N T AE M AH N EY T IH D
decontrol	D IY K AH N T R OW L
decontrolled	D IY K AH N T R OW L D
decorate	D EH K ER EY T
decorating	D EH K ER EY T IH NG
decorative	D EH K R AH T IH V
decorous	D EH K ER AH S
decouple	D IY K AH P AH L
decoupling	D IY K AH P L IH NG
decoy	D AH K OY
decoys	D IY K OY Z
decree	D IH K R IY
decreed	D IH K R IY D
decrees	D IH K R IY Z
decrepit	D AH K R EH P IH T
decried	D IH K R AY D
decries	D IH K R AY Z
decriminalize	D IY K R IH M AH N AH L AY Z
decriminalizing	D IY K R IH M AH N AH L AY Z IH NG
decry	D IH K R AY
decrying	D IH K R AY IH NG
dedicate	D EH D AH K EY T
dedicated	D EH D AH K EY T AH D
dedicates	D EH D IH K EY T S
dedicating	D EH D IH K EY T IH NG
deduce	D IH D UW S
deduced	D IH D UW S T
deduct	D IH D AH K T
deducted	D IH D AH K T IH D
deductible	D IH D AH K T AH B AH L
deducting	D IH D AH K T IH NG
deductive	D IH D AH K T AH V
deducts	D IH D AH K T S
deem	D IY M
deemed	D IY M D
deems	D IY M Z
deep	D IY P
deepen	D IY P AH N
deepened	D IY P AH N D
deepens	D IY P AH N Z
deeper	D IY P ER
deepest	D IY P AH S T
deeply	D IY P L IY
deface	D IH F EY S
defaced	D IH F EY S T
defacing	D IH F EY S IH NG
defamatory	D IH F AE M AH T AO R IY
defame	D IH F EY M
defamed	D IH F EY M D
default	D IH F AO L T
defaulted	D IH F AO L T IH D
defaulting	D IH F AO L T IH NG
defaults	D IH F AO L T S
defeat	D IH F IY T
defeating	D IH F IY T IH NG
defeats	D IH F IY T S
defected	D IH F EH K T IH D
defecting	D IH F EH K T IH NG
defective	D IH F EH K T IH V
defend	D IH F EH N D
defending	D IH F EH N D IH NG
defends	D IH F EH N D Z
defenseless	D IH F EH N S L AH S
defensible	D IH F EH N S AH B AH L
defensive	D IH F EH N S IH V
defensively	D IH F EH N S IH V L IY
defer	D IH F ER
deferred	D IH F ER D
deferring	D IH F ER IH NG
defers	D IH F ER Z
defiant	D IH F AY AH N T
defiantly	D IH F AY AH N T L IY
deficient	D IH F IH SH AH N T
defied	D IH F AY D
defies	D IH F AY Z
definable	D IH F AY N AH B AH L
define	D IH F AY N
defined	D IH F AY N D
defines	D IH F AY N Z
defining	D IH F AY N IH NG
definite	D EH F AH N AH T
definitely	D EH F AH N AH T L IY
definitive	D IH F IH N IH T IH V
deflate	D IH F L EY T
deflated	D IH F L EY T IH D
deflating	D IH F L EY T IH NG
deflationary	D IH F L EY SH AH N EH R IY
deflect	D IH F L EH K T
deflected	D IH F L EH K T IH D
deflecting	D IH F L EH K T IH NG
deflects	D IH F L EH K T S
deforest	D IH F AO R AH S T
deform	D IY F AO R M
deformed	D IH F AO R M D
defraud	D IH F R AO D
defrauded	D IH F R AO D IH D
defrauding	D IH F R AO D IH NG
defray	D IH F R EY
defrays	D IH F R EY Z
defrost	D IH F R AO S T
defrosting	D IH F R AO S T IH NG
deft	D EH F T
deftly	D EH F T L IY
defunct	D IH F AH NG K T
defuse	D IH F Y UW Z
defusing	D IH F Y UW Z IH NG
defy	D IH F AY
defying	D IH F AY IH NG
degenerated	D IH JH EH N ER EY T IH D
degenerates	D IH JH EH N ER AH T S
degenerating	D IH JH EH N ER EY T IH NG
degenerative	D IH JH EH N ER AH T IH V
degrade	D IH G R EY D
degrades	D IH G R EY D Z
degrading	D IH G R EY D IH NG
dehumanize	D IH HH Y UW M AH N AY Z
dehumanized	D IH HH Y UW M AH N AY Z D
dehumanizing	D IY HH Y UW M AH N AY Z IH NG
dehumidified	D IY HH Y UW M IH D AH F AY D
dehumidifies	D IY HH Y UW M IH D AH F AY Z
dehumidify	D IY HH Y UW M IH D AH F AY
dehydrate	D IH HH AY D R EY T
dehydrated	D IH HH AY D R EY T AH D
deified	D IY AH F AY D
deify	D IY AH F AY
deign	D EY N
deigned	D EY N D
deigning	D EY N IH NG
deigns	D EY N Z
deist	D IY IH S T
deject	D IH JH EH K T
dejected	D IH JH EH K T IH D
delay	D IH L EY
delayed	D IH L EY D
delaying	D IH L EY IH NG
delays	D IH L EY Z
delectable	D IH L EH K T AH B AH L
delegated	D EH L AH G EY T AH D
delegating	D EH L AH G EY T IH NG
delete	D IH L IY T
deleted	D IH L IY T AH D
deleterious	D EH L AH T IH R IY AH S
deletes	D IH L IY T S
deleting	D IH L IY T IH NG
deliberated	D IH L IH B ER EY T IH D
deliberating	D IH L IH B ER EY T IH NG
delicate	D EH L AH K AH T
delicately	D EH L AH K AH T L IY
delicious	D IH L IH SH AH S
deliciously	D IH L IH SH AH SH L IY
delight	D IH L AY T
delightful	D IH L AY T F AH L
delightfully	D IH L AY T F AH L IY
delighting	D IH L AY T IH NG
delights	D IH L AY T S
delineate	D IH L IH N IY EY T
delineated	D IH L IH N IY EY T IH D
delineates	D IH L IH N IY EY T S
delineating	D IH L IH N IY EY T IH NG
delinquent	D IH L IH NG K W AH N T
delirious	D IH L IH R IY AH S
delist	D IY L IH S T
delisted	D IY L IH S T IH D
delisting	D IY L IH S T IH NG
deliver	D IH L IH V ER
delivered	D IH L IH V ER D
delivering	D IH L IH V ER IH NG
delivers	D IH L IH V ER Z
delphian	D EH L F Y AH N
delphic	D EH L F IH K
delude	D IH L UW D
deluded	D IH L UW D IH D
deludes	D IH L UW D Z
deluding	D IH L UW D IH NG
deluge	D EH L Y UW JH
deluged	D EH L Y UW JH D
delusional	D IH L UW ZH AH N AH L
deluxe	D AH L AH K S
delve	D EH L V
delved	D EH L V D
delves	D EH L V Z
delving	D EH L V IH NG
demagogic	D EH M AH G AA JH IH K
demand	D IH M AE N D
demanding	D IH M AE N D IH NG
demandingly	D IH M AE N D IH NG L IY
demands	D IH M AE N D Z
demean	D IH M IY N
demeaned	D IH M IY N D
demeaning	D IH M IY N IH NG
demeans	D IH M IY N Z
demented	D IH M EH N T IH D
demilitarize	D IY M IH L AH T ER AY Z
demilitarized	D IY M IH L AH T ER AY Z D
demilitarizes	D IY M IH L AH T ER AY Z IH Z
demilitarizing	D IY M IH L AH T ER AY Z IH NG
demise	D IH M AY Z
demo	D EH M OW
demobilize	D IH M OW B AH L AY Z
demobilized	D IH M OW B AH L AY Z D
demobilizes	D IH M OW B AH L AY Z IH Z
demobilizing	D IH M OW B AH L AY Z IH NG
democratic	D EH M AH K R AE T IH K
democratically	D EH M AH K R AE T IH K L IY
democratize	D IH M AA K R AH T AY Z
democratized	D IH M AA K R AH T AY Z D
democratizes	D IH M AA K R AH T AY Z IH Z
democratizing	D IH M AA K R AH T AY Z IH NG
demodulate	D IY M AA JH AH L EY T
demodulated	D IY M AA JH AH L EY T AH D
demodulates	D IY M AA JH AH L EY T S
demographic	D EH M AH G R AE F IH K
demolish	D IH M AA L IH SH
demolished	D IH M AA L IH SH T
demolishes	D IH M AA L IH SH AH Z
demolishing	D IH M AA L IH SH IH NG
demonic	D IH M AA N IH K
demonize	D IY M AH N AY Z
demonized	D IY M AH N AY Z D
demonizing	D IY M AH N AY Z IH NG
demonstrable	D EH M AH N S T R AH B AH L
demonstrably	D IH M AA N S T R AH B L IY
demonstrate	D EH M AH N S T R EY T
demonstrates	D EH M AH N S T R EY T S
demonstrating	D EH M AH N S T R EY T IH NG
demonstrative	D IH M AA N S T R AH T IH V
demoralize	D IH M AO R AH L AY Z
demoralized	D IH M AO R AH L AY Z D
demoralizing	D IH M AO R AH L AY Z IH NG
demos	D EH M OW Z
demoss	D AH M AA S
demote	D IH M OW T
demoted	D IH M OW T IH D
demur	D IH M ER
demure	D IH M Y UH R
demurely	D IH M Y UH R L IY
demurred	D IH M ER D
demurring	D IH M ER IH NG
demurs	D IH M ER Z
demystify	D IY M IH S T AH F AY
denationalize	D IH N AE SH AH N AH L AY Z
denationalized	D IH N AE SH AH N AH L AY Z D
denationalizing	D IH N AE SH AH N AH L AY Z IH NG
denature	D IH N EY CH ER
denatured	D IH N EY CH ER D
dendritic	D EH N D R IH T IH K
denied	D IH N AY D
denies	D IH N AY Z
denigrate	D EH N AH G R EY T
denigrated	D EH N IH G R EY T IH D
denigrating	D EH N IH G R EY T IH NG
denominate	D IH N AA M AH N EY T
denominated	D IH N AA M AH N EY T IH D
denominational	D IH N AO M AH N EY SH AH N AH L
denote	D IH N OW T
denoted	D IH N OW T AH D
denotes	D IH N OW T S
denoting	D IH N OW T IH NG
denounce	D IH N AW N S
denounced	D IH N AW N S T
denounces	D IH N AW N S IH Z
denouncing	D IH N AW N S IH NG
dense	D EH N S
densely	D EH N S L IY
denser	D EH N S ER
densest	D EH N S AH S T
dent	D EH N T
dented	D EH N T IH D
denting	D EH N T IH NG
dents	D EH N T S
denude	D IH N UW D
denuded	D IH N UW D IH D
denuding	D IH N UW D IH NG
deny	D IH N AY
denying	D IH N AY IH NG
denys	D EH N IH S
depart	D IH P AA R T
departing	D IH P AA R T IH NG
departs	D IH P AA R T S
depend	D IH P EH N D
dependable	D IH P EH N D AH B AH L
dependent	D IH P EH N D AH N T
depending	D IH P EH N D IH NG
depends	D IH P EH N D Z
depict	D IH P IH K T
depicting	D IH P IH K T IH NG
depilatory	D IH P IH L AH T AO R IY
deplete	D IH P L IY T
depleted	D IH P L IY T IH D
depletes	D IH P L IY T S
depleting	D IH P L IY T IH NG
deplorable	D IH P L AO R AH B AH L
deplore	D IH P L AO R
deplored	D IH P L AO R D
deplores	D IH P L AO R Z
deploring	D IH P L AO R IH NG
deploy	D IH P L OY
deployed	D IH P L OY D
deploying	D IH P L OY IH NG
deploys	D IH P L OY Z
depopulate	D IY P AA P Y AH L EY T
deport	D IH P AO R T
deported	D IH P AO R T AH D
deporting	D IH P AO R T IH NG
depose	D IH P OW Z
deposed	D IH P OW Z D
depositing	D AH P AA Z IH T IH NG
deprave	D IY P R EY V
depraved	D IY P R EY V D
deprecate	D EH P R AH K EY T
deprecated	D EH P R AH K EY T AH D
deprecates	D EH P R AH K EY T S
deprecating	D EH P R AH K EY T IH NG
depreciate	D IH P R IY SH IY EY T
depreciated	D IH P R IY SH IY EY T IH D
depreciates	D IH P R IY SH IY EY T S
depreciating	D IH P R IY SH IY EY T IH NG
depress	D IH P R EH S
depressant	D IH P R EH S AH N T
depressed	D IH P R EH S T
depressing	D IH P R EH S IH NG
depressingly	D IH P R EH S IH NG L IY
depressurize	D IH P R EH SH ER AY Z
depressurized	D IH P R EH SH ER AY Z D
depressurizes	D IH P R EH SH ER AY Z IH Z
depressurizing	D IH P R EH SH ER AY Z IH NG
deprive	D IH P R AY V
deprived	D IH P R AY V D
deprives	D IH P R AY V Z
depriving	D IH P R AY V IH NG
deputize	D EH P Y AH T AY Z
deputized	D EH P Y AH T AY Z D
der	D ER
derail	D IH R EY L
derailed	D IH R EY L D
derailing	D IH R EY L IH NG
derails	D IH R EY L Z
derange	D IH R EY N JH
deranged	D IH R EY N JH D
deregulate	D IY R EH G Y AH L EY T
deregulated	D IY R EH G Y AH L EY T IH D
deregulating	D IY R EH G Y AH L EY T IH NG
derelict	D EH R AH L IH K T
deride	D IH R AY D
derided	D IH R AY D IH D
derides	D IH R AY D Z
deriding	D IH R AY D IH NG
derive	D ER AY V
derived	D ER AY V D
deriving	D ER AY V IH NG
dermal	D ER M AH L
dermatological	D ER M AH T AH L AA JH IH K AH L
derogatory	D ER AA G AH T AO R IY
descend	D IH S EH N D
descendant	D IH S EH N D AH N T
descendent	D IH S EH N D AH N T
descending	D IH S EH N D IH NG
descends	D IH S EH N D Z
describable	D IH S K R AY B AH B AH L
describe	D IH S K R AY B
described	D IH S K R AY B D
describes	D IH S K R AY B Z
describing	D IH S K R AY B IH NG
descriptive	D IH S K R IH P T IH V
desegregate	D IH S EH G R AH G EY T
desegregated	D IH S EH G R IH G EY T IH D
desensitize	D IH S EH N S AH T AY Z
desensitized	D IH S EH N S AH T AY Z D
desensitizing	D IH S EH N S AH T AY Z IH NG
deserted	D IH Z ER T IH D
deserting	D EH Z ER T IH NG
deserve	D IH Z ER V
deserved	D IH Z ER V D
deservedly	D IH Z ER V AH D L IY
deserves	D IH Z ER V Z
deserving	D IH Z ER V IH NG
desiccate	D EH S AH K EY T
desiccated	D EH S AH K EY T AH D
desiccates	D EH S AH K EY T S
design	D IH Z AY N
designated	D EH Z IH G N EY T IH D
designates	D EH Z IH G N EY T S
designating	D EH Z IH G N EY T IH NG
designed	D IH Z AY N D
designing	D IH Z AY N IH NG
designs	D IH Z AY N Z
desire	D IH Z AY ER
desired	D IH Z AY ER D
desires	D IH Z AY ER Z
desiring	D IH Z AY ER IH NG
desirous	D IH Z AY R AH S
despair	D IH S P EH R
despaired	D IH S P EH R D
despairing	D IH S P EH R IH NG
despairs	D IH S P EH R Z
despicable	D IH S P IH K AH B AH L
despise	D IH S P AY Z
despised	D IH S P AY Z D
despises	D IH S P AY Z IH Z
despising	D IH S P AY Z IH NG
despondent	D IH S P AA N D AH N T
despotic	D IH S P AA T IH K
dest	D EH S T
destabilize	D IH S T EY B AH L AY Z
destabilized	D IH S T EY B AH L AY Z D
destabilizing	D IH S T EY B AH L AY Z IH NG
destined	D EH S T IH N D
destitute	D EH S T AH T UW T
destroy	D IH S T R OY
destroyed	D IH S T R OY D
destroying	D IH S T R OY IH NG
destroys	D IH S T R OY Z
destruct	D IH S T R AH K T
destructed	D IH S T R AH K T IH D
destructing	D IH S T R AH K T IH NG
destructive	D IH S T R AH K T IH V
destructs	D IH S T R AH K T S
desultory	D EH S AH L T AO R IY
detailed	D IH T EY L D
detailing	D IH T EY L IH NG
detain	D IH T EY N
detained	D IH T EY N D
detaining	D IH T EY N IH NG
detect	D IH T EH K T
detectable	D IH T EH K T AH B AH L
detecting	D IH T EH K T IH NG
detects	D IH T EH K T S
deter	D IH T ER
detergent	D IH T ER JH AH N T
deteriorate	D IH T IH R IY ER EY T
deteriorated	D IH T IH R IY ER EY T IH D
deteriorates	D IH T IH R IY ER EY T S
deteriorating	D IH T IH R IY ER EY T IH NG
determinable	D IH T ER M AH N AH B AH L
determinant	D IH T ER M AH N AH N T
determinate	D IH T ER M AH N EY T
determinative	D IH T ER M IH N AH T IH V
determined	D IH T ER M AH N D
determining	D IH T ER M AH N IH NG
deterministic	D IH T ER M AH N IH S T IH K
deterred	D IH T ER D
deterrent	D IH T ER R AH N T
deterring	D IH T ER IH NG
deters	D IH T ER Z
detonate	D EH T AH N EY T
detonated	D EH T AH N EY T AH D
detonating	D EH T AH N EY T IH NG
detoured	D IY T UH R D
detox	D IY T AA K S
detoxify	D IH T AA K S AH F AY
detract	D IH T R AE K T
detracted	D IH T R AE K T IH D
detracting	D IH T R AE K T IH NG
detracts	D IH T R AE K T S
devaluate	D IH V AE L Y UW EY T
devaluated	D IH V AE L Y UW EY T IH D
devalue	D IH V AE L Y UW
devaluing	D IH V AE L Y UW IH NG
devastate	D EH V AH S T EY T
devastating	D EH V AH S T EY T IH NG
develop	D IH V EH L AH P
developed	D IH V EH L AH P T
developing	D IH V EH L AH P IH NG
develops	D IH V EH L AH P S
deviant	D IY V IY AH N T
deviate	D IY V IY EY T
deviated	D IY V IY EY T IH D
deviates	D IY V IY EY T S
deviating	D IY V IY EY T IH NG
devil	D EH V AH L
devilish	D EH V L IH SH
devils	D EH V AH L Z
devious	D IY V IY AH S
devised	D IH V AY Z D
devises	D IH V AY Z IH Z
devising	D IH V AY Z IH NG
devoid	D IH V OY D
devolve	D IH V AA L V
devolved	D IH V AA L V D
devote	D IH V OW T
devotees	D EH V AH T IY Z
devotes	D IH V OW T S
devoting	D IH V OW T IH NG
devotional	D IH V OW SH AH N AH L
devour	D IH V AW ER
devoured	D IH V AW ER D
devouring	D IH V AW ER IH NG
devours	D IH V AW ER Z
devout	D IH V AW T
devoutly	D IH V AW T L IY
dewy	D UW IY
dexter	D EH K S T ER
dextrous	D EH K S T R AH S
diabetic	D AY AH B EH T IH K
diabolical	D AY AH B AA L IH K AH L
diacritic	D AY AH K R IH T AH K
diacritical	D AY AH K R IH T AH K AH L
diagnose	D AY AH G N OW S
diagnosed	D AY AH G N OW S T
diagnoses	D AY AH G N OW S IY Z
diagnosing	D AY AH G N OW S IH NG
diagnostic	D AY AH G N AA S T IH K
diagonal	D AY AE G AH N AH L
diagonally	D AY AE G AH N AH L IY
diagram	D AY AH G R AE M
diagraming	D AY AH G R AE M IH NG
diagrammatic	D AY AH G R AH M AE T IH K
diagrammed	D AY AH G R AE M D
diagrams	D AY AH G R AE M Z
dialectic	D AY AH L EH K T IH K
dialectical	D AY AH L EH K T IH K AH L
dialed	D AY AH L D
diamagnetic	D AY AH M AE G N EH T IH K
diaphanous	D AY AE F AH N IH S
diastolic	D AY AH S T AA L IH K
diatomic	D AY AH T AA M IH K
diatonic	D AY AH T AA N IH K
diazo	D AY AE Z OW
dibble	D IH B AH L
dibbled	D IH B AH L D
dice	D AY S
diced	D AY S T
dicey	D AY S IY
dicier	D AY S IY ER
dicing	D AY S IH NG
dickensian	D IH K EH N Z IY AH N
dicker	D IH K ER
dickered	D IH K ER D
dickering	D IH K ER IH NG
dickey	D IH K IY
dicky	D IH K IY
dictating	D IH K T EY T IH NG
dictatorial	D IH K T AH T AO R IY AH L
didactic	D AY D AE K T IH K
die	D AY
died	D AY D
dies	D AY Z
dieses	D AY Z IH Z
diesing	D IY S IH NG
diet	D AY AH T
dietary	D AY AH T EH R IY
dietetic	D AY AH T EH T IH K
dieting	D AY AH T IH NG
diets	D AY IH T S
differ	D IH F ER
differed	D IH F ER D
differs	D IH F ER Z
difficult	D IH F AH K AH L T
diffract	D IH F R AE K T
diffused	D IH F Y UW Z D
diffuses	D IH F Y UW Z AH Z
diffusing	D IH F Y UW Z IH NG
dig	D IH G
digested	D AY JH EH S T IH D
digestible	D AY JH EH S T AH B AH L
digestive	D AY JH EH S T IH V
digging	D IH G IH NG
digitally	D IH JH AH T AH L IY
digitize	D IH JH AH T AY Z
digitized	D IH JH AH T AY Z D
digitizing	D IH JH AH T AY Z IH NG
dignified	D IH G N AH F AY D
dignify	D IH G N AH F AY
digress	D AY G R EH S
digressed	D AY G R EH S T
digresses	D AY G R EH S IH Z
digressing	D AY G R EH S IH NG
digs	D IH G Z
dike	D AY K
dikes	D AY K S
dilapidate	D AH L AE P AH D EY T
dilapidated	D AH L AE P AH D EY T IH D
dilate	D AY L EY T
dilated	D AY L EY T AH D
dilatory	D IH L AH T AO R IY
diligent	D IH L IH JH AH N T
diligently	D IH L AH JH AH N T L IY
dillydally	D IH L IY D AE L IY
dim	D IH M
dimension	D IH M EH N SH AH N
dimensional	D IH M EH N SH AH N AH L
dimensioned	D AH M EH N CH AH N D
dimensions	D IH M EH N SH AH N Z
dimes	D AY M Z
diming	D AY M IH NG
diminish	D IH M IH N IH SH
diminished	D IH M IH N IH SH T
diminishes	D IH M IH N IH SH IH Z
diminishing	D IH M IH N IH SH IH NG
diminutive	D IH M IH N Y AH T IH V
dimly	D IH M L IY
dimmed	D IH M D
dimmer	D IH M ER
dimming	D IH M IH NG
dimorphic	D AY M AO R F IH K
dimple	D IH M P AH L
dimpled	D IH M P AH L D
dimples	D IH M P AH L Z
dims	D IH M Z
din	D IH N
dine	D AY N
dined	D AY N D
dines	D AY N Z
ding	D IH NG
dinges	D IH N JH IH Z
dingess	D IH NG G IH S
dings	D IH NG Z
dingy	D IH N JH IY
dining	D AY N IH NG
dinky	D IH NG K IY
dinning	D IH N IH NG
diocesan	D AY AA S AH S AH N
dionysian	D AY AH N IH S IY AH N
dip	D IH P
diplomatic	D IH P L AH M AE T IH K
diplomatically	D IH P L AH M AE T IH K L IY
dipped	D IH P T
dipping	D IH P IH NG
dips	D IH P S
direst	D AY R AH S T
dirt	D ER T
dirtier	D ER T IY ER
dirtiest	D ER T IY AH S T
dirty	D ER T IY
disable	D IH S EY B AH L
disabled	D IH S EY B AH L D
disables	D IH S EY B AH L Z
disabused	D IH S AH B Y UW Z D
disabuses	D IH S AH B Y UW S IH Z
disadvantageous	D IH S AE D V AE N T EY JH AH S
disaffect	D IH S AH F EH K T
disaffected	D IH S AH F EH K T IH D
disagree	D IH S AH G R IY
disagreeable	D IH S AH G R IY AH B AH L
disagreed	D IH S AH G R IY D
disagreeing	D IH S AH G R IY IH NG
disagrees	D IH S AH G R IY Z
disallow	D IH S AH L AW
disallowed	D IH S AH L AW D
disallowing	D IH S AH L AW IH NG
disappoint	D IH S AH P OY N T
disappoints	D IH S AH P OY N T S
disapprove	D IH S AH P R UW V
disapproved	D IH S AH P R UW V D
disapproves	D IH S AH P R UW V Z
disapproving	D IH S AH P R UW V IH NG
disarm	D IH S AA R M
disarmed	D IH S AA R M D
disarming	D IH S AA R M IH NG
disassemble	D IH S AH S EH M B AH L
disassembled	D IH S AH S EH M B AH L D
disastrous	D IH Z AE S T R AH S
disastrously	D IH Z AE S T R AH S L IY
disavow	D IH S AH V AW
disavowed	D IH S AH V AW D
disavowing	D IH S AH V AW IH NG
disband	D IH S B AE N D
disbanded	D IH S B AE N D IH D
disbanding	D IH S B AE N D IH NG
disbar	D IH S B AA R
disbarred	D IH S B AA R D
disbelieve	D IH S B AH L IY V
disbelieving	D IH S B AH L IY V IH NG
disburse	D IH S B ER S
disbursed	D IH S B ER S T
disbursing	D IH S B ER S IH NG
discard	D IH S K AA R D
discarded	D IH S K AA R D IH D
discarding	D IH S K AA R D IH NG
discards	D IH S K AA R D Z
discern	D IH S ER N
discerned	D IH S ER N D
discernible	D IH S ER N AH B AH L
discerning	D IH S ER N IH NG
discerns	D IH S ER N Z
disciplinary	D IH S AH P L AH N EH R IY
discipline	D IH S AH P L AH N
disciplined	D IH S AH P L AH N D
disciplines	D IH S AH P L AH N Z
disciplining	D IH S AH P L AH N IH NG
disclaim	D IH S K L EY M
disclaimed	D IH S K L EY M D
disclaiming	D IH S K L EY M IH NG
disclaims	D IH S K L EY M Z
disclose	D IH S K L OW Z
disclosed	D IH S K L OW Z D
discloses	D IH S K L OW Z IH Z
disclosing	D IH S K L OW Z IH NG
disco	D IH S K OW
discolor	D IH S K AH L ER
discolored	D IH S K AH L ER D
discolors	D IH S K AH L ER Z
discombobulate	D IH S K AH M B AO B Y UW L EY T
discombobulated	D IH S K AH M B AO B Y UW L EY T AH D
discombobulates	D IH S K AH M B AO B Y UW L EY T S
discombobulating	D IH S K AH M B AO B Y UW L EY T IH NG
disconcert	D IH S K AH N S ER T
disconcerting	D IH S K AH N S ER T IH NG
disconnect	D IH S K AH N EH K T
disconnected	D IH S K AH N EH K T IH D
disconnecting	D IH S K AH N EH K T IH NG
disconnects	D IH S K AH N EH K T S
discontent	D IH S K AH N T EH N T
discontented	D IH S K AH N T EH N T IH D
discontentedly	D IH S K AH N T EH N T IH D L IY
discontents	D IH S K AH N T EH N T S
discontinue	D IH S K AH N T IH N Y UW
discontinued	D IH S K AH N T IH N Y UW D
discontinuing	D IH S K AH N T IH N Y UW IH NG
discord	D IH S K AO R D
discordant	D IH S K AO R D AH N T
discos	D IH S K OW Z
discourage	D IH S K ER IH JH
discourages	D IH S K ER IH JH IH Z
discourse	D IH S K AO R S
discover	D IH S K AH V ER
discovered	D IH S K AH V ER D
discovering	D IH S K AH V ER IH NG
discovers	D IH S K AH V ER Z
discredit	D IH S K R EH D AH T
discredited	D IH S K R EH D IH T IH D
discrediting	D IH S K R EH D AH T IH NG
